timestamp,session_id,dpid,src_ip,dst_ip,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,delta_packets,delta_bytes,packet_rate,byte_rate,avg_packet_size,burst_score,dst_unique_src_count,dst_total_packet_rate,dst_total_byte_rate,dst_active_flow_count,dst_std_packet_rate,dst_cv_packet_rate,label
1783450019.5159926,normale_r1,2,10.0.0.8,10.0.0.4,17,58708,9804,29,29180,0.656,0,0,0.0,0.0,1006.2068965517242,0.0,3,0.0,0.0,3,0.0,0.0,0
1783450019.5159926,normale_r1,2,10.0.0.11,10.0.0.4,17,49840,9806,14,8387,0.474,0,0,0.0,0.0,599.0714285714286,0.0,3,0.0,0.0,3,0.0,0.0,0
1783450019.5159926,normale_r1,2,10.0.0.6,10.0.0.4,17,51140,9802,1,1228,0.035,0,0,0.0,0.0,1228.0,0.0,3,0.0,0.0,3,0.0,0.0,0
1783450019.5186243,normale_r1,4,10.0.0.11,10.0.0.4,17,49840,9806,14,8387,0.486,0,0,0.0,0.0,599.0714285714286,0.0,1,0.0,0.0,1,0.0,0.0,0
1783450019.5189927,normale_r1,64344802436170,10.0.0.8,10.0.0.4,17,58708,9804,28,27862,0.675,0,0,0.0,0.0,995.0714285714286,0.0,2,0.0,0.0,2,0.0,0.0,0
1783450019.5189927,normale_r1,64344802436170,10.0.0.11,10.0.0.4,17,49840,9806,14,8387,0.48,0,0,0.0,0.0,599.0714285714286,0.0,2,0.0,0.0,2,0.0,0.0,0
1783450019.5193207,normale_r1,3,10.0.0.8,10.0.0.4,17,58708,9804,29,29180,0.695,0,0,0.0,0.0,1006.2068965517242,0.0,1,0.0,0.0,1,0.0,0.0,0
1783450021.5181901,normale_r1,4,10.0.0.11,10.0.0.4,17,49840,9806,63,48594,2.488,49,40207,24.505319617631876,20107.865017676017,771.3333333333334,2.934208018948254,2,24.505319617631876,20107.865017676017,2,12.252659808815938,0.9245434490565599,0
1783450021.5181901,normale_r1,4,10.0.0.10,10.0.0.4,17,53076,9805,1,1031,0.313,0,0,0.0,0.0,1031.0,0.0,2,24.505319617631876,20107.865017676017,2,12.252659808815938,0.9245434490565599,0
1783450021.523982,normale_r1,64344802436170,10.0.0.8,10.0.0.4,17,58708,9804,95,86568,2.677,67,58706,33.4166357592899,29279.955505744372,911.2421052631579,3.0309899195713492,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.523982,normale_r1,64344802436170,10.0.0.11,10.0.0.4,17,49840,9806,63,48594,2.482,49,40207,24.439032122465747,20053.47274587715,771.3333333333334,2.9332553807082706,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.523982,normale_r1,64344802436170,10.0.0.7,10.0.0.4,17,38497,9803,25,22401,0.906,0,0,0.0,0.0,896.04,0.0,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.523982,normale_r1,64344802436170,10.0.0.1,10.0.0.4,17,34640,9800,13,15011,0.628,0,0,0.0,0.0,1154.6923076923076,0.0,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.523982,normale_r1,64344802436170,10.0.0.10,10.0.0.4,17,53076,9805,1,1031,0.307,0,0,0.0,0.0,1031.0,0.0,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.523982,normale_r1,64344802436170,10.0.0.2,10.0.0.4,17,46795,9801,1,980,0.23,0,0,0.0,0.0,980.0,0.0,6,57.85566788175565,49333.42825162152,6,13.880790796864824,1.3042655028745604,0
1783450021.524882,normale_r1,1,10.0.0.1,10.0.0.4,17,34640,9800,18,21336,0.633,0,0,0.0,0.0,1185.3333333333333,0.0,2,0.0,0.0,2,0.0,0.0,0
1783450021.524882,normale_r1,1,10.0.0.2,10.0.0.4,17,46795,9801,1,980,0.235,0,0,0.0,0.0,980.0,0.0,2,0.0,0.0,2,0.0,0.0,0
1783450021.5251951,normale_r1,2,10.0.0.8,10.0.0.4,17,58708,9804,96,87886,2.658,67,58706,33.346564448525406,29218.55839574825,915.4791666666666,3.0304123389186084,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.11,10.0.0.4,17,49840,9806,63,48594,2.476,49,40207,24.387785939966342,20011.422638535238,771.3333333333334,2.932515783307023,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.6,10.0.0.4,17,51140,9802,74,69206,2.037,73,67978,36.33282395137843,33833.32474749045,935.2162162162163,3.053217691393054,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.7,10.0.0.4,17,38497,9803,25,22401,0.899,0,0,0.0,0.0,896.04,0.0,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.1,10.0.0.4,17,34640,9800,13,15011,0.623,0,0,0.0,0.0,1154.6923076923076,0.0,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.10,10.0.0.4,17,53076,9805,1,1031,0.3,0,0,0.0,0.0,1031.0,0.0,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5251951,normale_r1,2,10.0.0.2,10.0.0.4,17,46795,9801,1,980,0.224,0,0,0.0,0.0,980.0,0.0,7,94.06717433987018,83063.30578177393,7,15.868842293265734,1.099089756673243,0
1783450021.5258682,normale_r1,3,10.0.0.8,10.0.0.4,17,58708,9804,96,87886,2.697,67,58706,33.390688052737204,29257.219892895377,915.4791666666666,3.0307762959570956,2,33.390688052737204,29257.219892895377,2,16.695344026368602,0.9434879594027753,0
1783450021.5258682,normale_r1,3,10.0.0.7,10.0.0.4,17,38497,9803,25,22401,0.913,0,0,0.0,0.0,896.04,0.0,2,33.390688052737204,29257.219892895377,2,16.695344026368602,0.9434879594027753,0
1783450023.519818,normale_r1,1,10.0.0.1,10.0.0.4,17,34640,9800,86,79171,2.635,68,57835,34.08630670958897,28990.905125721732,920.5930232558139,3.0364007306047642,2,56.64342144387578,48266.711569994295,2,5.7645959876510755,0.19659821496493127,0
1783450023.519818,normale_r1,1,10.0.0.2,10.0.0.4,17,46795,9801,46,39434,2.237,45,38454,22.557114734286817,19275.80644427256,857.2608695652174,2.90417463039813,2,56.64342144387578,48266.711569994295,2,5.7645959876510755,0.19659821496493127,0
1783450023.524524,normale_r1,3,10.0.0.8,10.0.0.4,17,58708,9804,168,143111,4.699,72,55225,36.024211943976894,27631.07089730728,851.8511904761905,1.9142155387335265,2,69.5467425029554,53844.188785597464,2,1.250840692499196,0.03496569232198174,0
1783450023.524524,normale_r1,3,10.0.0.7,10.0.0.4,17,38497,9803,92,74792,2.915,67,52391,33.5225305589785,26213.117888290188,812.9565217391304,3.031858617028314,2,69.5467425029554,53844.188785597464,2,1.250840692499196,0.03496569232198174,0
1783450023.52512,normale_r1,2,10.0.0.8,10.0.0.4,17,58708,9804,167,141995,4.66,71,54109,35.50133310793984,27055.515959683336,850.2694610778443,1.9032323725182034,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.11,10.0.0.4,17,49840,9806,126,92696,4.478,63,44102,31.501182898594504,22051.82806656849,735.6825396825396,2.022964801513421,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.6,10.0.0.4,17,51140,9802,136,131303,4.039,62,62097,31.00116412242634,31049.66594371465,965.4632352941177,1.72898746495564,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.7,10.0.0.4,17,38497,9803,91,73881,2.901,66,51480,33.001239227099006,25740.966597137223,811.8791208791209,3.027533365750643,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.1,10.0.0.4,17,34640,9800,86,79171,2.625,73,64160,36.50137066027617,32081.20467894958,920.5930232558139,3.054402903402346,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.10,10.0.0.4,17,53076,9805,87,83858,2.302,86,82827,43.00161475046234,41415.05517368075,963.8850574712644,3.093533537053926,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.52512,normale_r1,2,10.0.0.2,10.0.0.4,17,46795,9801,46,39434,2.226,45,38454,22.500844927567503,19227.722018770684,857.2608695652174,2.903239873464033,7,233.00874969436572,198621.95843850472,7,5.787254202620967,0.16878876070115945,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.8,10.0.0.4,17,58708,9804,166,140677,4.679,71,54109,35.469328104725875,27031.12499181144,847.4518072289156,1.9009954510913605,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.11,10.0.0.4,17,49840,9806,126,92696,4.484,63,44102,31.472784092925778,22031.948001050994,735.6825396825396,2.0208501013921913,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.7,10.0.0.4,17,38497,9803,91,73881,2.908,66,51480,32.971488097350814,25717.760715933637,811.8791208791209,3.027282768332614,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.1,10.0.0.4,17,34640,9800,86,79171,2.63,73,64160,36.4684641076759,32052.28297463679,920.5930232558139,3.0541722947501126,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.10,10.0.0.4,17,53076,9805,87,83858,2.309,86,82827,42.962848126851064,41377.71885817085,963.8850574712644,3.0933327380214526,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5257115,normale_r1,64344802436170,10.0.0.2,10.0.0.4,17,46795,9801,46,39434,2.232,45,38454,22.480560066375556,19210.387928720123,857.2608695652174,2.902901900962252,6,201.82547259590498,167421.22347032384,6,6.163588580381662,0.17794513357944677,0
1783450023.5263512,normale_r1,4,10.0.0.11,10.0.0.4,17,49840,9806,126,92696,4.491,63,44102,31.371985546914235,21961.385818889074,735.6825396825396,2.0164908545957885,2,74.19723565857494,63206.583388639316,2,5.726632282373233,0.15031076213927663,0
1783450023.5263512,normale_r1,4,10.0.0.10,10.0.0.4,17,53076,9805,87,83858,2.316,86,82827,42.8252501116607,41245.19756975024,963.8850574712644,3.0926173000011596,2,74.19723565857494,63206.583388639316,2,5.726632282373233,0.15031076213927663,0
1783450025.5204155,normale_r1,4,10.0.0.11,10.0.0.4,17,49840,9806,176,141527,6.491,50,48831,25.074416718318375,24488.17685544409,804.1306818181819,1.3399661517142232,2,54.662228445934055,47507.99586786346,2,2.2566975046486526,0.07965438587724968,0
1783450025.5204155,normale_r1,4,10.0.0.10,10.0.0.4,17,53076,9805,146,129761,4.316,59,45903,29.58781172761568,23019.819012419364,888.7739726027397,1.5680109559117947,2,54.662228445934055,47507.99586786346,2,2.2566975046486526,0.07965438587724968,0
1783450025.5249567,normale_r1,2,10.0.0.8,10.0.0.4,17,58708,9804,229,190457,6.661,62,48462,31.00253161599123,24232.97882538979,831.6899563318777,1.3682828557510873,7,214.51751714935864,176259.89309439296,7,8.052783674873497,0.2544696530076547,0
1783450025.5249567,normale_r1,2,10.0.0.11,10.0.0.4,17,49840,9806,176,141527,6.479,50,48831,25.00204162579938,24417.49389258819,804.1306818181819,1.33694570018131,7,214.51751714935864,176259.89309439296,7,8.052783674873497,0.2544696530076547,0
