threshold,accuracy,precision,recall,f1,fbeta
0.25,0.9574829931972789,0.9010526315789473,0.9930394431554525,0.9448123620309051,0.973169622555707
0.3,0.9608843537414966,0.9122055674518201,0.988399071925754,0.9487750556792873,0.9721588315837515
0.35,0.9642857142857143,0.9200863930885529,0.988399071925754,0.9530201342281879,0.9739368998628258
0.4,0.9719387755102041,0.9383259911894273,0.988399071925754,0.9627118644067797,0.977961432506887
0.45,0.9727891156462585,0.9423503325942351,0.9860788863109049,0.963718820861678,0.9770114942528736
0.5,0.9727891156462585,0.9423503325942351,0.9860788863109049,0.963718820861678,0.9770114942528736
0.55,0.9744897959183674,0.9485458612975392,0.9837587006960556,0.9658314350797267,0.9765085214187011
0.6,0.9770408163265306,0.9590909090909091,0.9791183294663574,0.9690011481056258,0.9750462107208873
0.65,0.9787414965986394,0.9655963302752294,0.9767981438515081,0.9711649365628604,0.9745370370370372
0.7,0.9787414965986394,0.9699074074074074,0.9721577726218097,0.9710312862108922,0.9717068645640073
0.75,0.9787414965986394,0.9720930232558139,0.9698375870069605,0.9709639953542393,0.970287836583101
